Unnamed: 0,id,nom,sexe,naissance,race,pays,info,infoyear
234,K3o3Y1FXOGprcU8zL3RsRi8rUDU5Zz09,MUCH BETTER,M,1989,PS,BRZ,much better brz m.ps. 5 a.,1994
235,bUlBamI5VHo0ajdiR2cvMGVUc2M4Zz09,RICHARD OF YORK,M,1990,PS,GB,richard of york gb m.ps. 4 a.,1994
236,Q1QwZzNuaU9RSFFwdENWR2RlR1R2dz09,SIERRA MADRE,F,1991,PS,FR,sierra madre  f.ps. 3 a.,1994
237,MVR3S3I5dlArdUFoeU5HUy92cnI3dz09,TRULY A DREAM,F,1991,PS,IRE,truly a dream ire f.ps. 3 a.,1994
238,ckY1NENrK295WjZodi9ZOVFBWjhVZz09,DALAKHANI,M,2000,PS,IRE,dalakhani ire m.ps.+,2003
239,YjZpZDB0a1NCSGZsSjViT0RnUXNSZz09,HIGH CHAPARRAL,M,1999,PS,IRE,high chaparral ire m.ps. 4 a.,2003
240,NlJrb3dlZE1weW9WdEFNQjZEdmZudz09,DOYEN,M,2000,PS,IRE,doyen ire m.ps. 3 a.,2003
241,VDJ1VEd0bmJWWmw4Q2pBVTd1R0hCUT09,VINNIE ROE,M,1998,PS,IRE,vinnie roe ire m.ps. 5 a.,2003
242,eW9wL1M0ajNpYjhGTkRXb2RXNWx4Zz09,BLACK SAM BELLAMY,M,1999,PS,IRE,black sam bellamy ire m.ps. 4 a.,2003
243,VnhJSU9ycWpRK2NlZ0hBWktFZG9rZz09,DAI JIN,M,2000,PS,GB,dai jin gb m.ps. 3 a.,2003
244,Nyt6Z0J5ei96T21VMFdEc3F5RUsyZz09,BOLLIN ERIC,M,1999,PS,GB,bollin eric gb m.ps. 4 a.,2003
245,ZXdFYVpzSTA1aG9xWko4U0tNTUpNUT09,ANGE GABRIEL,M,1998,PS,FR,ange gabriel  m.ps. 5 a.,2003
246,VHBBQW5GSkhiWkNXaER1cEFYd1Jadz09,POLICY MAKER,M,2000,PS,IRE,policy maker (ire) m.ps. 3 a.,2003
247,dW05aEZtVHNwbEVzSkNsblZ0UWFDdz09,FIRST CHARTER,M,1999,PS,GB,first charter gb m.ps. 4 a.,2003
248,OEhmVHZTSFBtZ3hoeFBRSktGWTNoQT09,DIYAPOUR,H,2000,PS,FR,DIYAPOUR  H.PS.+,2003
249,cTBPNGc4VW10WnRzT3FYNld2RGNmUT09,KRIS KIN,M,2000,PS,USA,kris kin usa m.ps. 3 a.,2003
250,cldpOTRyUFpIeTNTdlNFZzJGTXNPZz09,FONTANESI,M,2000,PS,IRE,FONTANESI,2003
251,Q09vZGtmR2t2T1Q5UHIvNldWVTNkZz09,MARIENBARD,M,1997,PS,IRE,marienbard ire m.ps. 5 a.,2002
252,bks5ejRHSWhPa3o0R2pPY3MzR3lnQT09,SULAMANI,M,1999,PS,IRE,sulamani (ire) m.ps. 3 a.,2002
253,YkZpSkE2Z29lWFVLdTZJTmZaSzJ5dz09,CALIFET,M,1998,PS,FR,califet  m.ps. 4 a.,2002
254,QjZ0UVJQeU5nemVUcUkxMnBDZk1TUT09,ISLINGTON,F,1999,PS,IRE,islington ire f.ps. 3 a.,2002
255,Y2s5ZWxMbTd0SGo3TU1SejBhRUhHdz09,AQUARELLISTE,F,1998,PS,FR,aquarelliste  f.ps. 4 a.,2002
256,TDZWWU5GekZ4dWRDVzVobkh4Mk0xUT09,ANABAA BLUE,M,1998,PS,GB,anabaa blue (gb) m.ps. 4 a.,2002
257,RWNDQk00cG02VnVyMzVRaHFmS3RtZz09,FAIR MIX,M,1998,PS,IRE,fair mix (ire) m.ps. 4 a.,2002
258,aE1odW1mRzZGcXRhN3NyZTZ5VXZkUT09,FALBRAV,M,1998,PS,IRE,falbrav ire m.ps. 4 a.,2002
259,ZlA4aUpVd3Q1TitUaCtpellFMEdndz09,BOREAL,M,1998,PS,GER,boreal ger m.ps. 4 a.,2002
260,ZzZtNWwyQzk1TytwNHJlUGxLUzNDZz09,FOUNDATION SPIRIT,M,1998,PS,FR,foundation spirit  m.ps. 4 a.,2002
261,UUpzcTgxS05zWSs3Mi9vUVVoR252dz09,SENSIBLE,M,1998,PS,FR,sensible  m.ps. 4 a.,2002
262,TWZ4T3dBcGptelhUbktJTkNjSS9Qdz09,MANHATTAN CAFE,M,1998,PS,JPN,manhattan cafe jpn m.ps. 4 a.,2002
263,VDJXUjNCTXkwZTlOL0liQU5JV0padz09,ASIAN HEIGHTS,M,1998,PS,GB,asian heights gb m.ps. 4 a.,2002
264,S0Iza3YvSXpueEtNOWpPWjZPZGFUdz09,ANA MARIE,F,1999,PS,FR,ana marie  f.ps. 3 a.,2002
265,d3ZkNDdhdEIwU291cEMydDdRc3NqQT09,LAMMTARRA,M,1992,PS,USA,lammtarra usa m.ps. 3 a.,1995
266,OWlHaU9CYlJPeXVITy84SHFDeWlvZz09,FREEDOM CRY,M,1991,PS,GB,freedom cry gb m.ps. 4 a.,1995
267,UGROVTFmRkRDbjhORkYwbk5ObzdlQT09,PURE GRAIN,F,1992,PS,GB,pure grain gb f.ps. 3 a.,1995
268,THBkV2VycFhzbGI5emwrR1dwa1k0QT09,PARTIPRAL,M,1989,PS,USA,partipral (usa) m.ps. 6 a.,1995
269,RkY3Uzg1TCt1TDkwTDVMWUM2a2VkZz09,GUNBOAT DIPLOMACY,M,1991,PS,FR,gunboat diplomacy  m.ps.+,1995
270,RTI1djZ1UDBmOFdmL3Npc3VCKzYxZz09,CARLING,F,1992,PS,FR,carling  f.ps. 3 a.,1995
271,TE5RWXhVWGZtZDRIQU5hcGFCaVFrUT09,BALANCHINE,F,1991,PS,USA,balanchine usa f.ps. 4 a.,1995
272,c2p5TFNQcW5Hc0dyeVZQcWhoZVB4Zz09,STRATEGIC CHOICE,M,1991,PS,USA,strategic choice usa m.ps. 4 a.,1995
273,NGI3dlJia3phMkVScElneitxdUJrdz09,TOT OU TARD,M,1990,PS,IRE,tot ou tard ire m.ps.+,1995
274,aEg4VDB3RUYzRlJpT3BHaDR0d1NPZz09,EL SEMBRADOR,M,1991,PS,ARG,el sembrador arg m.ps. 4 a.,1995
275,bEhsakV6TzBxb1cxU3RkZ01mT2pxZz09,SUNRISE SONG,F,1991,PS,FR,sunrise song  f.ps. 4 a.,1995
276,bFZ2Y2I2NXRMcXk0ZDRtQWhaUlpGdz09,LUSO,M,1992,PS,GB,luso gb m.ps. 3 a.,1995
277,NWU3UHRoSzVvOW5nSExYb1NTbkxVUT09,EL TENOR,M,1992,PS,FR,el tenor  m.ps. 3 a.,1995
278,VkNNTVc2bnJoWTg2dHVjMEFoWnU2dz09,OUIJA BOARD,F,2001,PS,GB,ouija board gb f.ps. 3 a.,2004
279,b0dKWDZVMkZSTlN0Z1B2VzNwTXBkUT09,ACROPOLIS,M,2001,PS,IRE,acropolis ire m.ps. 3 a.,2004
280,amMwaThOQUlmMFM0TXIra2RoVVVCUT09,NORTH LIGHT,M,2001,PS,IRE,north light ire m.ps. 3 a.,2004
281,NDFzWTc1WThONWp3a3BwbjY4VEg0dz09,VALLEE ENCHANTEE,F,2000,PS,IRE,vallee enchantee (ire) f.ps. 4 a.,2004
282,cWo2SFE1QTN4MzFMcVdlMjN6cjUydz09,LATICE,F,2001,PS,IRE,latice (ire) f.ps. 3 a.,2004
283,OTYrL3Vpbmo4S3lIRGt4SFdBVHpyUT09,SILVERSKAYA,F,2001,PS,USA,silverskaya usa f.ps. 3 a.,2004
284,VUUzclVzRngwQko4UTZaUmRlWVg4QT09,VALIXIR,M,2001,PS,IRE,valixir (ire) m.ps. 3 a.,2004
285,YnpYWDJsQVM2RSswb0UvTHFKVTVpZz09,EXECUTE,M,1997,PS,FR,execute  m.ps. 7 a.,2004
286,WG9sVXNvd0VkOWpyQkxVWXV3TVlzUT09,MAMOOL,M,1999,PS,IRE,mamool ire m.ps. 5 a.,2004
287,UlJ6SXpEQmRNV2JaMTFYMUR4NEZDZz09,IMPERIAL DANCER,M,1998,PS,GB,imperial dancer gb m.ps. 6 a.,2004
288,T21PQ0x0TzdNUEdMTHZ2OEJ2QU5PUT09,TAP DANCE CITY,M,1997,PS,USA,tap dance city usa m.ps. 7 a.,2004
289,ajJjK0p0ODcvYUI5UkhBZkRLSGZVUT09,BLUE CANARI,M,2001,PS,FR,blue canari  m.ps. 3 a.,2004
290,ZVd6ZVNDVXZCSWdmVnB0U3NLSVFvQT09,GREY SWALLOW,M,2001,PS,IRE,grey swallow ire m.ps. 3 a.,2004
291,M1ZYWVMzZ092SC9aUEV4Rm9yaTNkUT09,PROSPECT PARK,M,2001,PS,GB,prospect park (gb) m.ps. 3 a.,2004
292,RXVXVUZDNTBmcW80a1lCNFBpa3Qwdz09,WORKFORCE,M,2007,PS,GB,workforce gb m.ps. 3 a.,2010
293,L0tOWlRjUkdkbWttb3FXeXhpVktzZz09,NAKAYAMA FESTA,M,2006,PS,JPN,nakayama festa jpn m.ps. 4 a.,2010
