,Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
80,9,magadan ire m.ps. 4 a.,OUdvYWhXcTdneHpmSGVNc3ZaMERxZz09,4.0,Par: HIGH CHAPARRAL  et MOLASSES (MACHIAVELLIAN),3/4 (Corde:17),,ECURIE WILDENSTEIN,E. LELLOUCHE,ANTHONY  CRASTUS,"59,5kg",,,,,,,KILCARN STUD
147,8,talloires usa m.ps. 3 a.,OVg2WjhoZDJ4alM3VnRwbU9XR1I1Zz09,0.0,Par: TREMPOLINO  et LOGICIEL (KNOWN FACT),1/2 (Corde:19),,SUC. PAUL DE MOUSSAC,A. FABRE,OLIVIER  PESLIER,56 kg,,,,,,,MARYSTEAD FARM
136,--,AVENTINO JPN M.PS. 8 a.,OVpZYW9WQ1g1cHY5RGhsUGxFSGpqQT09,7.0,Par: JUNGLE POCKET  et ASSAM HILL (SUNDAY SILENCE),(Corde:08),,MME KAZUKO  YOSHIDA,Y. IKEE,ANTHONY  CRASTUS,"59,5kg",,,,,,,SHADAI CORPORATION INC
314,2,freedom cry gb m.ps. 4 a.,OWlHaU9CYlJPeXVITy84SHFDeWlvZz09,6.0,Par: SOVIET STAR  et FALLING STAR (MOUNT HAGEN),3/4 (Corde:03),,SUC. DANIEL  WILDENSTEIN,A. FABRE,OLIVIER  PESLIER,"59,5kg",243.918,,,,,2.0,DAYTON INVESTMENTS LTD
297,1,marienbard ire m.ps. 5 a.,Q09vZGtmR2t2T1Q5UHIvNldWVTNkZz09,4.0,Par: CAERLEON  et MARIENBAD (DARSHAAN),(Corde:03),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,"59,5kg",914.24,,,,,,S. ALI
280,--,sierra madre  f.ps. 3 a.,Q1QwZzNuaU9RSFFwdENWR2RlR1R2dz09,0.0,Par: BAILLAMONT  et MARIE D'IRLANDE (KALAMOUN),(Corde:16),,JEAN-LOUIS  BOUCHARD,P. BARY,MR FREDERIC  HEAD,"54,5kg",,,,,,,BLOODSTOCK AGENCY LTD
440,--,courteous gb m.ps. 3 a.,Q2RLVEl6SWJacGVWNHVicG5nUmUvQT09,11.0,Par: GENEROUS  et DAYANATA (SHIRLEY HEIGHTS),(Corde:04),,SUC. FAHD  SALMAN,PFI. COLE,KIEREN-FRANCIS  FALLON,56 kg,,,,,,,NEWGATE STUD CO.
171,9,study of man ire m.ps. 3 a.,Q3Y2c2JyZ0IwdVhVYnhMRnk1UHVFZz09,14.0,Par: DEEP IMPACT  et SECOND HAPPINESS (STORM CAT),CTE (Corde:19),,FLAXMAN STABLES IRELAND L.T.D,P. BARY (S),STEPHANE  PASQUIER,"56,5kg",,,,,,,FLAXMAN STABLES IRELAND L.T.D
161,--,user friendly gb f.ps. 4 a.,Q3ZYa212Wmh1MmVkOGtGRUJCZ0EyUT09,0.0,Par: SLIP ANCHOR  et ROSTOVA (BLAKENEY),(Corde:01),,WILLIAM-JEROME  GREDLEY,CE. BRITTAIN,GEORGE  DUFFIELD,"57,5kg",,,,,,,STETCHWORTH PARK STUD
20,3,sagara usa m.ps. 3 a.,QU9BR0xQQzRVK3BVSjBVS0tHaWVZUT09,11.0,Par: SADLER'S WELLS  et RANGOON RUBY (KINGMAMBO),1.5 (Corde:11),,FAMILLE  NIARCHOS,JE. PEASE,THIERRY  GILLET,56 kg,228.600,,,,,,FLAXMAN HOLDINGS LTD
