,NumSire,NomCheval,Suffixe,Race,Sexe,AnneeNaissance,link
76,MlZBWmg3bVdCRmdqQzIxQ0lELzdIUT09,GOLD SHIP                ,JPN,PS   ,M,2009,/fr/cheval/MlZBWmg3bVdCRmdqQzIxQ0lELzdIUT09
77,RkdjY3JKQldKa3lmQjkxaTkxNGYxUT09,VISION D'ETAT            ,FR ,PS   ,M,2005,/fr/cheval/RkdjY3JKQldKa3lmQjkxaTkxNGYxUT09
78,OEtVY3N1ZmxHVTNwUTlQVWdDdXZDZz09,IN SWOOP                 ,IRE,PS   ,M,2017,/fr/cheval/OEtVY3N1ZmxHVTNwUTlQVWdDdXZDZz09
79,RWR5RWt3QWVRWFdnRitibDhxbGh0UT09,ONE FOOT IN HEAVEN       ,IRE,PS   ,H,2012,/fr/cheval/RWR5RWt3QWVRWFdnRitibDhxbGh0UT09
80,YXVNNGJ2ejN5Tmh3emJqZ0xocEh3Zz09,PLUMATIC                 ,GB ,PS   ,M,2014,/fr/cheval/YXVNNGJ2ejN5Tmh3emJqZ0xocEh3Zz09
81,TTFWM04rREc0aTFGcVl2Zyt5dVZJZz09,IQUITOS                  ,GER,PS   ,M,2012,/fr/cheval/TTFWM04rREc0aTFGcVl2Zyt5dVZJZz09
82,L1Z1bVhvZ3VMNlQ5eDdOYVJVRXU2dz09,ZAMBEZI SUN              ,GB ,PS   ,M,2004,/fr/cheval/L1Z1bVhvZ3VMNlQ5eDdOYVJVRXU2dz09
83,d3cyTC9aMW9MbnFkUk9JVUpYVzhyQT09,HUNTING HORN             ,IRE,PS   ,M,2015,/fr/cheval/d3cyTC9aMW9MbnFkUk9JVUpYVzhyQT09
84,OHRGVnJJcVBuaExzMGxtQld4ckRJQT09,PAPAL BULL               ,GB ,PS   ,M,2003,/fr/cheval/OHRGVnJJcVBuaExzMGxtQld4ckRJQT09
85,Q3hSVGdaSUFEVTlyYTRpbldWZDFOdz09,MASKED MARVEL            ,IRE,PS   ,M,1976,/fr/cheval/Q3hSVGdaSUFEVTlyYTRpbldWZDFOdz09
86,OUJEVm4yNXZYaDdFZFEvY1JudlZiUT09,CAPE BLANCO              ,IRE,PS   ,M,2007,/fr/cheval/OUJEVm4yNXZYaDdFZFEvY1JudlZiUT09
87,RGpqVzFISThLazdkQm1zRVFKaDJuUT09,KISEKI                   ,JPN,PS   ,M,2014,/fr/cheval/RGpqVzFISThLazdkQm1zRVFKaDJuUT09
88,cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09,ENABLE                   ,GB ,PS   ,F,2014,/fr/cheval/cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09
89,ak04VG9jcmlLQ3gxQ2l5ZExmMGdBUT09,PIRIKA                   ,IRE,PS   ,F,2008,/fr/cheval/ak04VG9jcmlLQ3gxQ2l5ZExmMGdBUT09
90,NUp0OVJCUU5CVENhQUczcVJ4Y2JpZz09,DOHA DREAM               ,FR ,PS   ,M,2013,/fr/cheval/NUp0OVJCUU5CVENhQUczcVJ4Y2JpZz09
91,L0tOWlRjUkdkbWttb3FXeXhpVktzZz09,NAKAYAMA FESTA           ,JPN,PS   ,M,2006,/fr/cheval/L0tOWlRjUkdkbWttb3FXeXhpVktzZz09
92,NFlvT3NGR25sSEhJYW9JZGFGcWd0Zz09,GOLDEN HORN              ,FR ,PS   ,H,2012,/fr/cheval/NFlvT3NGR25sSEhJYW9JZGFGcWd0Zz09
93,Zk1YYWM4TmhwNHVqUkdzZjNsNEpEUT09,KAMSIN                   ,ITY,PS   ,H,1983,/fr/cheval/Zk1YYWM4TmhwNHVqUkdzZjNsNEpEUT09
94,eElISExrSmJ5bTJud3BsV0hIa09xdz09,SILVERWAVE               ,FR ,PS   ,M,2012,/fr/cheval/eElISExrSmJ5bTJud3BsV0hIa09xdz09
95,bU9FemMxZEZsMUdNdmF1SkFhM3BZZz09,ZARAK                    ,FR ,PS   ,M,2013,/fr/cheval/bU9FemMxZEZsMUdNdmF1SkFhM3BZZz09
96,OUdvYWhXcTdneHpmSGVNc3ZaMERxZz09,MAGADAN                  ,IRE,PS   ,M,2005,/fr/cheval/OUdvYWhXcTdneHpmSGVNc3ZaMERxZz09
97,WWRNU2l1QUQ4YktjMkZQUFBJRysrdz09,DOLNIYA                  ,FR ,PS   ,F,2011,/fr/cheval/WWRNU2l1QUQ4YktjMkZQUFBJRysrdz09
98,c3NrdkxkRTJ2bnpBU1Jkckt1M2VkQT09,SOLEMIA                  ,IRE,PS   ,F,2008,/fr/cheval/c3NrdkxkRTJ2bnpBU1Jkckt1M2VkQT09
99,MUFIbDcwdEM1TWVuQXBnckRKL3EvZz09,BEHKABAD                 ,FR ,PS   ,M,2007,/fr/cheval/MUFIbDcwdEM1TWVuQXBnckRKL3EvZz09
100,U3ErcmtqUjhsRDdPS0FheXdpNlBVQT09,FRINE                    ,IRE,PS   ,F,2010,/fr/cheval/U3ErcmtqUjhsRDdPS0FheXdpNlBVQT09
101,anptcjdXV2c4dE9DbE1QSGtmQ3Z2Zz09,MIGWAR                   ,FR ,AR   ,M,2014,/fr/cheval/anptcjdXV2c4dE9DbE1QSGtmQ3Z2Zz09
102,bytINmx4MVZBT3Z1cGlVTTEzYUlTQT09,BLAST ONEPIECE           ,JPN,PS   ,M,2015,/fr/cheval/bytINmx4MVZBT3Z1cGlVTTEzYUlTQT09
103,eTRZem96TFdpWjd0SXNHWU92R1h5Zz09,LOPE DE VEGA             ,IRE,PS   ,M,2007,/fr/cheval/eTRZem96TFdpWjd0SXNHWU92R1h5Zz09
104,YXJKMFBUYzhRSkE5UnhrLzlFNjVnQT09,SAONOIS                  ,FR ,PS   ,M,2009,/fr/cheval/YXJKMFBUYzhRSkE5UnhrLzlFNjVnQT09
105,YWhNKzJ4SXd1QWl3MHo3Sm9QYjU0dz09,MEANDRE                  ,FR ,PS   ,M,2008,/fr/cheval/YWhNKzJ4SXd1QWl3MHo3Sm9QYjU0dz09
106,bHVNbFlaeFJTRWhPc3NLeksvSSswQT09,SO YOU THINK             ,NZ ,PS   ,M,2006,/fr/cheval/bHVNbFlaeFJTRWhPc3NLeksvSSswQT09
107,OWEvTkFId2VXV0hCOG9oaERMTXE1Zz09,GETAWAY                  ,GER,PS   ,M,2003,/fr/cheval/OWEvTkFId2VXV0hCOG9oaERMTXE1Zz09
108,YldBVGFrelh6VkpqRWtnOTVUYWR4UT09,SEVENTH HEAVEN           ,FR ,AR   ,F,2001,/fr/cheval/YldBVGFrelh6VkpqRWtnOTVUYWR4UT09
109,c3NOZGpYL21vTnJBVXo4NXJaZWdRdz09,SEA THE STARS            ,IRE,PS   ,M,2006,/fr/cheval/c3NOZGpYL21vTnJBVXo4NXJaZWdRdz09
110,YWNmUDA5eEQ3dFgyNElBa3B0MlRJQT09,ZARKAVA                  ,IRE,PS   ,F,2005,/fr/cheval/YWNmUDA5eEQ3dFgyNElBa3B0MlRJQT09
111,RlZKZW5yTVkxQ2VLUG1OSTlMMytGZz09,WAY TO PARIS             ,GB ,PS   ,M,2013,/fr/cheval/RlZKZW5yTVkxQ2VLUG1OSTlMMytGZz09
112,aWtjV3FPTU0yK3ZuSmJldXJCR042Zz09,SALOUEN                  ,IRE,PS   ,M,2014,/fr/cheval/aWtjV3FPTU0yK3ZuSmJldXJCR042Zz09
113,R2VpNXlyd0cyYzBzbWVhY0dLUk8zUT09,SCHIAPARELLI             ,FR ,AR   ,F,2016,/fr/cheval/R2VpNXlyd0cyYzBzbWVhY0dLUk8zUT09
114,VzlEbGlTN0hBd3ZiMTdDMnJwS05TZz09,MIKHAIL GLINKA           ,IRE,PS   ,M,2007,/fr/cheval/VzlEbGlTN0hBd3ZiMTdDMnJwS05TZz09
115,RG1DS2Y3R0tTdWJjNmk1ZWpuelpmQT09,WALDGEIST                ,GB ,PS   ,M,2014,/fr/cheval/RG1DS2Y3R0tTdWJjNmk1ZWpuelpmQT09
116,a2NQTXJ2NHZENk5sN0tSVGtUNFlCQT09,NELSON                   ,FR ,SFAA ,H,2001,/fr/cheval/a2NQTXJ2NHZENk5sN0tSVGtUNFlCQT09
117,eXB6YklZaWpoeitGVlN5Tko5MWdyQT09,MASTERSTROKE             ,USA,PS   ,M,2009,/fr/cheval/eXB6YklZaWpoeitGVlN5Tko5MWdyQT09
118,RXVXVUZDNTBmcW80a1lCNFBpa3Qwdz09,WORKFORCE                ,GB ,PS   ,M,2007,/fr/cheval/RXVXVUZDNTBmcW80a1lCNFBpa3Qwdz09
