,AnneeNaissance,NomCheval,NumSire,Race,Sexe,Suffixe,link
104,2014,DEIRDRE                  ,VEo0Z2ttM2xvSGhIdFV6aUVOUjBIUT09,PS   ,F,JPN,/fr/cheval/VEo0Z2ttM2xvSGhIdFV6aUVOUjBIUT09
105,2008,HAYA LANDA               ,alJjOVppdmZJZ2RTaGZFMmVqZVZlUT09,PS   ,F,FR ,/fr/cheval/alJjOVppdmZJZ2RTaGZFMmVqZVZlUT09
106,2014,ENABLE                   ,cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09,PS   ,F,GB ,/fr/cheval/cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09
107,2010,PENGLAI PAVILION         ,c0hTZWZ6bWIyRHhkMEhsK3NYOTdZdz09,PS   ,H,USA,/fr/cheval/c0hTZWZ6bWIyRHhkMEhsK3NYOTdZdz09
108,2005,HOT SIX                  ,WTh4VFBlSHE5RWZCZEh2OFFWRmxGUT09,PS   ,M,BRZ,/fr/cheval/WTh4VFBlSHE5RWZCZEh2OFFWRmxGUT09
109,2014,PLUMATIC                 ,YXVNNGJ2ejN5Tmh3emJqZ0xocEh3Zz09,PS   ,M,GB ,/fr/cheval/YXVNNGJ2ejN5Tmh3emJqZ0xocEh3Zz09
110,1976,MASKED MARVEL            ,Q3hSVGdaSUFEVTlyYTRpbldWZDFOdz09,PS   ,M,IRE,/fr/cheval/Q3hSVGdaSUFEVTlyYTRpbldWZDFOdz09
111,2011,FREE EAGLE               ,SGJDenBYdWpaWXFERUJ6eWRBU1lNUT09,PS   ,M,IRE,/fr/cheval/SGJDenBYdWpaWXFERUJ6eWRBU1lNUT09
112,2014,WINTER                   ,d2huMXJ6SFNpbkR6aXNzUUlnZ2tlUT09,PS   ,F,IRE,/fr/cheval/d2huMXJ6SFNpbkR6aXNzUUlnZ2tlUT09
113,2011,PRINCE GIBRALTAR         ,T0FSOXFzQ0VpbVNickZvcm15c0FvQT09,PS   ,M,FR ,/fr/cheval/T0FSOXFzQ0VpbVNickZvcm15c0FvQT09
114,2005,CONDUIT                  ,SXRnUEJUcVJTcjZpSkY2ZHJCZzZsQT09,PS   ,M,IRE,/fr/cheval/SXRnUEJUcVJTcjZpSkY2ZHJCZzZsQT09
115,2014,MIGWAR                   ,anptcjdXV2c4dE9DbE1QSGtmQ3Z2Zz09,AR   ,M,FR ,/fr/cheval/anptcjdXV2c4dE9DbE1QSGtmQ3Z2Zz09
116,2006,CAVALRYMAN               ,U3VRd1hQLzVTU3hVRW9iTkVCTVlkUT09,PS   ,M,GB ,/fr/cheval/U3VRd1hQLzVTU3hVRW9iTkVCTVlkUT09
117,2015,STUDY OF MAN             ,Q3Y2c2JyZ0IwdVhVYnhMRnk1UHVFZz09,PS   ,M,IRE,/fr/cheval/Q3Y2c2JyZ0IwdVhVYnhMRnk1UHVFZz09
118,2010,SILJAN'S SAGA            ,aGV3WlRQYWh4aHhuZmdWYVJ4M2dWZz09,PS   ,F,FR ,/fr/cheval/aGV3WlRQYWh4aHhuZmdWYVJ4M2dWZz09
119,2010,FLINTSHIRE               ,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,PS   ,M,GB ,/fr/cheval/d29nU2FtRTVHbGN3NGl5S2JOUlljdz09
120,2013,HARZAND                  ,ZlVKV1p1aVFreVFka3pCOWVHc3Jsdz09,PS   ,M,IRE,/fr/cheval/ZlVKV1p1aVFreVFka3pCOWVHc3Jsdz09
121,2007,CAPE BLANCO              ,OUJEVm4yNXZYaDdFZFEvY1JudlZiUT09,PS   ,M,IRE,/fr/cheval/OUJEVm4yNXZYaDdFZFEvY1JudlZiUT09
122,2013,ROYAL JULIUS             ,czliWEdqRDNROWtwMmtHMThuN3JEdz09,PS   ,M,IRE,/fr/cheval/czliWEdqRDNROWtwMmtHMThuN3JEdz09
123,2006,PLUMANIA                 ,R1pOYmw0WDNHVEN5Vk1ZcXpJMVozUT09,PS   ,F,GB ,/fr/cheval/R1pOYmw0WDNHVEN5Vk1ZcXpJMVozUT09
124,2008,SOLEMIA                  ,c3NrdkxkRTJ2bnpBU1Jkckt1M2VkQT09,PS   ,F,IRE,/fr/cheval/c3NrdkxkRTJ2bnpBU1Jkckt1M2VkQT09
125,2007,HIRUNO D'AMOUR           ,R1hVbXF5bW9rT2ZlK3YxSGU1NmlnZz09,PS   ,M,JPN,/fr/cheval/R1hVbXF5bW9rT2ZlK3YxSGU1NmlnZz09
126,2006,MARINOUS                 ,NFVobmo3Zm4zNFZ5VHhzOGFXWkJtUT09,PS   ,M,FR ,/fr/cheval/NFVobmo3Zm4zNFZ5VHhzOGFXWkJtUT09
127,2006,SO YOU THINK             ,bHVNbFlaeFJTRWhPc3NLeksvSSswQT09,PS   ,M,NZ ,/fr/cheval/bHVNbFlaeFJTRWhPc3NLeksvSSswQT09
128,2008,ORFEVRE                  ,V0swazNFZzMvaCtad3ZUNTdiNmRVUT09,PS   ,M,JPN,/fr/cheval/V0swazNFZzMvaCtad3ZUNTdiNmRVUT09
129,2013,SAVOIR VIVRE             ,bDZjOTYzdnkvRUliV3dyKzYzMDZZZz09,PS   ,M,IRE,/fr/cheval/bDZjOTYzdnkvRUliV3dyKzYzMDZZZz09
130,2016,PERSIAN KING             ,eHZpS0hMSTB6OHFVZTlQMmZUTWY4dz09,PS   ,M,IRE,/fr/cheval/eHZpS0hMSTB6OHFVZTlQMmZUTWY4dz09
131,2005,TULLAMORE                ,aElqYUloS2ZkRzRIVFZXUmpBRTlRUT09,PS   ,M,USA,/fr/cheval/aElqYUloS2ZkRzRIVFZXUmpBRTlRUT09
132,2013,VEDEVANI                 ,TnQrMC85ZWdnMFJtZ0ZRbEZyLzJUQT09,PS   ,M,FR ,/fr/cheval/TnQrMC85ZWdnMFJtZ0ZRbEZyLzJUQT09
133,2011,HARP STAR                ,aVIvN05EZW12VkNJa3ZyN1dXTU80QT09,PS   ,F,JPN,/fr/cheval/aVIvN05EZW12VkNJa3ZyN1dXTU80QT09
134,2008,MEANDRE                  ,YWhNKzJ4SXd1QWl3MHo3Sm9QYjU0dz09,PS   ,M,FR ,/fr/cheval/YWhNKzJ4SXd1QWl3MHo3Sm9QYjU0dz09
135,2006,SET SAIL                 ,MlN2ZHRiU1VFcFllandZYmh1SFF1dz09,PS   ,M,IRE,/fr/cheval/MlN2ZHRiU1VFcFllandZYmh1SFF1dz09
136,2012,IQUITOS                  ,TTFWM04rREc0aTFGcVl2Zyt5dVZJZz09,PS   ,M,GER,/fr/cheval/TTFWM04rREc0aTFGcVl2Zyt5dVZJZz09
137,2008,SHARETA                  ,Y0pQOFZiSnRDb0syczM2cDdvWjNNdz09,PS   ,F,IRE,/fr/cheval/Y0pQOFZiSnRDb0syczM2cDdvWjNNdz09
138,2004,AVENTINO                 ,OVpZYW9WQ1g1cHY5RGhsUGxFSGpqQT09,PS   ,M,JPN,/fr/cheval/OVpZYW9WQ1g1cHY5RGhsUGxFSGpqQT09
139,2012,ERUPT                    ,ajVkellKNDFIQnFMQVVmVzVnSmt6dz09,PS   ,M,IRE,/fr/cheval/ajVkellKNDFIQnFMQVVmVzVnSmt6dz09
